Categories,TP,FP,TN,FN,Precision,Accuracy,Recall,F1-score
Advertising&Marketing,51,11,0,1,0.8225806451612904,0.8095238095238095,0.9807692307692307,0.8947368421052632
Apps&Subscriptions,78,27,0,0,0.7428571428571429,0.7428571428571429,1.0,0.8524590163934427
Automobile,13,22,0,2,0.37142857142857144,0.35135135135135137,0.8666666666666667,0.52
BankCharges,839,6,0,0,0.9928994082840237,0.9928994082840237,1.0,0.996437054631829
ClothingHairMakeupCollabo,92,29,0,1,0.7603305785123967,0.7540983606557377,0.989247311827957,0.8598130841121494
GSTHSTITCs,566,43,0,34,0.9293924466338259,0.880248833592535,0.9433333333333334,0.9363110008271298
HumanIntertaction,1300,7,0,119,0.9946442234123948,0.9116409537166901,0.916138125440451,0.9537784299339691
Insurance,32,0,0,0,1.0,1.0,1.0,1.0
Materials,28,23,0,0,0.5490196078431373,0.5490196078431373,1.0,0.7088607594936709
Meals&Entertainment,30,4,0,0,0.8823529411764706,0.8823529411764706,1.0,0.9375
OfficeExpenses,10,1,0,11,0.9090909090909091,0.45454545454545453,0.47619047619047616,0.6249999999999999
RentorLeasePayments,14,7,0,3,0.6666666666666666,0.5833333333333334,0.8235294117647058,0.7368421052631577
Shipping,287,10,0,33,0.9663299663299664,0.8696969696969697,0.896875,0.9303079416531604
TDBank,33,2,0,0,0.9428571428571428,0.9428571428571428,1.0,0.9705882352941176
TDVisa,48,0,0,1,1.0,0.9795918367346939,0.9795918367346939,0.9896907216494846
Travel,55,2,0,0,0.9649122807017544,0.9649122807017544,1.0,0.9821428571428572
Wages&Salaries,53,2,0,2,0.9636363636363636,0.9298245614035088,0.9636363636363636,0.9636363636363636
WebsiteDomains&Email,11,11,0,0,0.5,0.5,1.0,0.6666666666666666
