Advertising&Marketing,"{'TP': 51, 'FP': 11, 'TN': 0, 'FN': 1, 'Accurcy': 0.8095238095238095, 'Precision': 0.8225806451612904, 'Recall': 0.9807692307692307, 'F1-score': 0.8947368421052632}"
Apps&Subscriptions,"{'TP': 78, 'FP': 27, 'TN': 0, 'FN': 0, 'Accurcy': 0.7428571428571429, 'Precision': 0.7428571428571429, 'Recall': 1.0, 'F1-score': 0.8524590163934427}"
Automobile,"{'TP': 13, 'FP': 22, 'TN': 0, 'FN': 2, 'Accurcy': 0.35135135135135137, 'Precision': 0.37142857142857144, 'Recall': 0.8666666666666667, 'F1-score': 0.52}"
BankCharges,"{'TP': 839, 'FP': 6, 'TN': 0, 'FN': 0, 'Accurcy': 0.9928994082840237, 'Precision': 0.9928994082840237, 'Recall': 1.0, 'F1-score': 0.996437054631829}"
ClothingHairMakeupCollabo,"{'TP': 92, 'FP': 29, 'TN': 0, 'FN': 1, 'Accurcy': 0.7540983606557377, 'Precision': 0.7603305785123967, 'Recall': 0.989247311827957, 'F1-score': 0.8598130841121494}"
GSTHSTITCs,"{'TP': 566, 'FP': 43, 'TN': 0, 'FN': 34, 'Accurcy': 0.880248833592535, 'Precision': 0.9293924466338259, 'Recall': 0.9433333333333334, 'F1-score': 0.9363110008271298}"
HumanIntertaction,"{'TP': 1300, 'FP': 7, 'TN': 0, 'FN': 119, 'Accurcy': 0.9116409537166901, 'Precision': 0.9946442234123948, 'Recall': 0.916138125440451, 'F1-score': 0.9537784299339691}"
Insurance,"{'TP': 32, 'FP': 0, 'TN': 0, 'FN': 0, 'Accurcy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'F1-score': 1.0}"
Materials,"{'TP': 28, 'FP': 23, 'TN': 0, 'FN': 0, 'Accurcy': 0.5490196078431373, 'Precision': 0.5490196078431373, 'Recall': 1.0, 'F1-score': 0.7088607594936709}"
Meals&Entertainment,"{'TP': 30, 'FP': 4, 'TN': 0, 'FN': 0, 'Accurcy': 0.8823529411764706, 'Precision': 0.8823529411764706, 'Recall': 1.0, 'F1-score': 0.9375}"
OfficeExpenses,"{'TP': 10, 'FP': 1, 'TN': 0, 'FN': 11, 'Accurcy': 0.45454545454545453, 'Precision': 0.9090909090909091, 'Recall': 0.47619047619047616, 'F1-score': 0.6249999999999999}"
RentorLeasePayments,"{'TP': 14, 'FP': 7, 'TN': 0, 'FN': 3, 'Accurcy': 0.5833333333333334, 'Precision': 0.6666666666666666, 'Recall': 0.8235294117647058, 'F1-score': 0.7368421052631577}"
Shipping,"{'TP': 287, 'FP': 10, 'TN': 0, 'FN': 33, 'Accurcy': 0.8696969696969697, 'Precision': 0.9663299663299664, 'Recall': 0.896875, 'F1-score': 0.9303079416531604}"
TDBank,"{'TP': 33, 'FP': 2, 'TN': 0, 'FN': 0, 'Accurcy': 0.9428571428571428, 'Precision': 0.9428571428571428, 'Recall': 1.0, 'F1-score': 0.9705882352941176}"
TDVisa,"{'TP': 48, 'FP': 0, 'TN': 0, 'FN': 1, 'Accurcy': 0.9795918367346939, 'Precision': 1.0, 'Recall': 0.9795918367346939, 'F1-score': 0.9896907216494846}"
Travel,"{'TP': 55, 'FP': 2, 'TN': 0, 'FN': 0, 'Accurcy': 0.9649122807017544, 'Precision': 0.9649122807017544, 'Recall': 1.0, 'F1-score': 0.9821428571428572}"
Wages&Salaries,"{'TP': 53, 'FP': 2, 'TN': 0, 'FN': 2, 'Accurcy': 0.9298245614035088, 'Precision': 0.9636363636363636, 'Recall': 0.9636363636363636, 'F1-score': 0.9636363636363636}"
WebsiteDomains&Email,"{'TP': 11, 'FP': 11, 'TN': 0, 'FN': 0, 'Accurcy': 0.5, 'Precision': 0.5, 'Recall': 1.0, 'F1-score': 0.6666666666666666}"
